variable_name,dims,shape,dtype,size,nbytes,stat_min,stat_max,stat_mean,stat_min_raw,stat_max_raw,stat_mean_raw,stat_std,stat_has_nan,stat_nan_count,encoding_dtype,encoding_zlib,encoding_szip,encoding_zstd,encoding_bzip2,encoding_blosc,encoding_shuffle,encoding_complevel,encoding_fletcher32,encoding_contiguous,encoding_chunksizes,encoding_preferred_chunks,encoding_source,encoding_original_shape,encoding__FillValue,fill_value,chunksizes
t_850,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,251.9374237060547,299.81768798828125,275.5995788574219,,,,6.415265083312988,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
t_500,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,227.02061462402344,275.2542419433594,253.26918029785156,,,,7.3385396003723145,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
t_250,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,204.3632049560547,239.75775146484375,222.84344482421875,,,,5.005284786224365,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
u_850,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,-37.91753005981445,39.81140899658203,7.004383563995361,,,,8.753339767456055,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
u_500,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,-30.826129913330078,62.41065216064453,14.587430000305176,,,,10.458207130432129,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
u_250,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,-40.83777618408203,93.4031982421875,25.20738983154297,,,,14.893157005310059,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
v_850,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,-38.89788055419922,42.43639373779297,-0.8492357134819031,,,,6.900809288024902,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
v_500,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,-48.62022399902344,49.010337829589844,-0.906661868095398,,,,9.331302642822266,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
v_250,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,-65.61503601074219,66.41313934326172,-0.8343009352684021,,,,13.10961627960205,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
w_850,"['time', 'lat', 'lon']","[7300, 23, 26]",float32,4365400,17461600,-0.2237137258052826,0.26198911666870117,-0.0002054092037724331,,,,0.012605391442775726,False,0,float32,True,False,False,False,False,True,8,False,False,"(1, 23, 26)","{""time"": 1, ""lat"": 23, ""lon"": 26}",C:\Users\reall\Desktop\climate_data\NorESM2-MM_histupdated_compressed.nc,"(7300, 23, 26)",,,"(1, 23, 26)"
